mmsi,vessel_name,vessel_type,imo,callsign,timestamp,latitude,longitude,speed,course,heading,navigation_status,destination,draught,behavior_class
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T06:56:47+00:00,32.19555,29.942586,14.59,46.6,47,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T07:08:47+00:00,32.197797,29.945399,14.12,41.6,42,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T07:20:47+00:00,32.200475,29.94821,14.02,45.5,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T07:32:47+00:00,32.202667,29.950847,14.15,41.8,42,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T07:44:47+00:00,32.205158,29.953475,14.35,43.9,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T07:56:47+00:00,32.207623,29.956281,14.11,46.4,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T08:08:47+00:00,32.209859,29.959059,14.36,45.9,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T08:20:47+00:00,32.212295,29.962026,14.41,43.6,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T08:32:47+00:00,32.214712,29.964744,14.49,45.1,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T08:44:47+00:00,32.217115,29.967595,14.08,45.1,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T08:56:47+00:00,32.219523,29.970452,14.1,42.1,42,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T09:08:47+00:00,32.221938,29.973033,14.73,41.3,41,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T09:20:47+00:00,32.224482,29.975678,14.25,44.3,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T09:32:47+00:00,32.227086,29.978686,14.15,45.6,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T09:44:47+00:00,32.229291,29.98135,14.07,44.5,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T09:56:47+00:00,32.231524,29.983942,14.22,46.1,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T10:08:47+00:00,32.233987,29.986972,14.22,44.0,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T10:20:47+00:00,32.236329,29.989647,14.64,44.1,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T10:32:47+00:00,32.238782,29.992461,14.0,43.0,43,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T10:44:47+00:00,32.241317,29.995255,14.58,44.7,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T10:56:47+00:00,32.243583,29.997902,14.69,46.4,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T11:08:47+00:00,32.245924,30.00081,14.05,41.2,41,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T11:20:47+00:00,32.248373,30.003347,14.58,43.5,43,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T11:32:47+00:00,32.250975,30.006263,14.38,43.7,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T11:44:47+00:00,32.253336,30.008935,14.61,43.9,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T11:56:47+00:00,32.255858,30.0118,14.4,50.0,50,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T12:08:47+00:00,32.257855,30.014616,14.02,43.0,43,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T12:20:47+00:00,32.260383,30.017404,14.41,42.1,42,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T12:32:47+00:00,32.262911,30.020102,14.33,45.3,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T12:44:47+00:00,32.265263,30.022908,14.06,42.9,43,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T12:56:47+00:00,32.267669,30.02555,14.74,44.3,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T13:08:47+00:00,32.270208,30.028482,14.7,44.7,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T13:20:47+00:00,32.272514,30.031185,14.71,41.6,42,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T13:32:47+00:00,32.275112,30.033918,14.72,46.2,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T13:44:47+00:00,32.277313,30.036634,14.18,41.9,42,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T13:56:47+00:00,32.279919,30.039404,14.69,45.8,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T14:08:47+00:00,32.282201,30.042177,14.33,44.6,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T14:20:47+00:00,32.284569,30.044938,14.27,44.6,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T14:32:47+00:00,32.287001,30.047774,14.42,46.1,46,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T14:44:47+00:00,32.289331,30.05064,14.78,43.8,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T14:56:47+00:00,32.291641,30.053264,14.23,41.4,41,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T15:08:47+00:00,32.294252,30.05599,14.4,45.3,45,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T15:20:47+00:00,32.296631,30.05883,14.12,43.2,43,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T15:32:47+00:00,32.299092,30.061566,14.19,44.0,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T15:44:47+00:00,32.301581,30.064409,14.19,47.2,47,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T15:56:47+00:00,32.303795,30.067238,14.51,43.4,43,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
620100001,MT Ocean Voyager,Tanker,9482711,5VAB8,2019-10-18T16:08:47+00:00,32.306342,30.070086,14.07,44.1,44,Under way using engine,PORT SAID,12.8,HIGH_CORRELATION
